id,QID,tagSlug
0,1,array
1,1,hash-table
2,2,linked-list
3,2,math
4,2,recursion
5,3,hash-table
6,3,string
7,3,sliding-window
8,4,array
9,4,binary-search
10,4,divide-and-conquer
11,5,string
12,5,dynamic-programming
13,6,string
14,7,math
15,8,string
16,9,math
17,10,string
18,10,dynamic-programming
19,10,recursion
20,11,array
21,11,two-pointers
22,11,greedy
23,12,hash-table
24,12,math
25,12,string
26,13,hash-table
27,13,math
28,13,string
29,14,string
30,14,trie
31,15,array
32,15,two-pointers
33,15,sorting
34,16,array
35,16,two-pointers
36,16,sorting
37,17,hash-table
38,17,string
39,17,backtracking
40,18,array
41,18,two-pointers
42,18,sorting
43,19,linked-list
44,19,two-pointers
45,20,string
46,20,stack
47,21,linked-list
48,21,recursion
49,22,string
50,22,dynamic-programming
51,22,backtracking
52,23,linked-list
53,23,divide-and-conquer
54,23,heap-priority-queue
55,23,merge-sort
56,24,linked-list
57,24,recursion
58,25,linked-list
59,25,recursion
60,26,array
61,26,two-pointers
62,27,array
63,27,two-pointers
64,28,two-pointers
65,28,string
66,28,string-matching
67,29,math
68,29,bit-manipulation
69,30,hash-table
70,30,string
71,30,sliding-window
72,31,array
73,31,two-pointers
74,32,string
75,32,dynamic-programming
76,32,stack
77,33,array
78,33,binary-search
79,34,array
80,34,binary-search
81,35,array
82,35,binary-search
83,36,array
84,36,hash-table
85,36,matrix
86,37,array
87,37,hash-table
88,37,backtracking
89,37,matrix
90,38,string
91,39,array
92,39,backtracking
93,40,array
94,40,backtracking
95,41,array
96,41,hash-table
97,42,array
98,42,two-pointers
99,42,dynamic-programming
100,42,stack
101,42,monotonic-stack
102,43,math
103,43,string
104,43,simulation
105,44,string
106,44,dynamic-programming
107,44,greedy
108,44,recursion
109,45,array
110,45,dynamic-programming
111,45,greedy
112,46,array
113,46,backtracking
114,47,array
115,47,backtracking
116,48,array
117,48,math
118,48,matrix
119,49,array
120,49,hash-table
121,49,string
122,49,sorting
123,50,math
124,50,recursion
125,51,array
126,51,backtracking
127,52,backtracking
128,53,array
129,53,divide-and-conquer
130,53,dynamic-programming
131,54,array
132,54,matrix
133,54,simulation
134,55,array
135,55,dynamic-programming
136,55,greedy
137,56,array
138,56,sorting
139,57,array
140,58,string
141,59,array
142,59,matrix
143,59,simulation
144,60,math
145,60,recursion
146,61,linked-list
147,61,two-pointers
148,62,math
149,62,dynamic-programming
150,62,combinatorics
151,63,array
152,63,dynamic-programming
153,63,matrix
154,64,array
155,64,dynamic-programming
156,64,matrix
157,65,string
158,66,array
159,66,math
160,67,math
161,67,string
162,67,bit-manipulation
163,67,simulation
164,68,array
165,68,string
166,68,simulation
167,69,math
168,69,binary-search
169,70,math
170,70,dynamic-programming
171,70,memoization
172,71,string
173,71,stack
174,72,string
175,72,dynamic-programming
176,73,array
177,73,hash-table
178,73,matrix
179,74,array
180,74,binary-search
181,74,matrix
182,75,array
183,75,two-pointers
184,75,sorting
185,76,hash-table
186,76,string
187,76,sliding-window
188,77,backtracking
189,78,array
190,78,backtracking
191,78,bit-manipulation
192,79,array
193,79,backtracking
194,79,matrix
195,80,array
196,80,two-pointers
197,81,array
198,81,binary-search
199,82,linked-list
200,82,two-pointers
201,83,linked-list
202,84,array
203,84,stack
204,84,monotonic-stack
205,85,array
206,85,dynamic-programming
207,85,stack
208,85,matrix
209,85,monotonic-stack
210,86,linked-list
211,86,two-pointers
212,87,string
213,87,dynamic-programming
214,88,array
215,88,two-pointers
216,88,sorting
217,89,math
218,89,backtracking
219,89,bit-manipulation
220,90,array
221,90,backtracking
222,90,bit-manipulation
223,91,string
